Plan_Capacity,Man_power,SHIFT,Total_Down_time,Material_Loss,Has_downtime,Material_Issue,Prev_Day_Completion,Prev_Day_Downtime,Actual_Qty
142,9,0.5,0,0,0,0,100,0,142
179,14,1,0,0,0,0,100,0,179
61,0,0,0,0,0,0,100,0,61
26,14,1,0,0,0,0,100,0,26
63,0,0,0,0,0,0,100,0,63
92,14,1,0,0,0,0,100,0,92
237,14,1,0,0,0,0,100,0,237
193,14,1,30,0,1,0,100,0,175
38,0,1,0,0,0,0,90.7,30,38
130,14,1,0,0,0,0,90.7,0,109
23,2,0.5,0,0,0,0,83.8,0,23
39,7,0.5,0,0,0,0,100,0,39
6,0,0,0,0,0,0,100,0,6
20,7,0.5,0,0,0,0,100,0,20
20,0,0,20,0,1,0,100,0,19
2,11,1,0,0,0,0,95,20,2
350,14,1,0,0,0,0,100,0,348
22,7,0.5,0,0,0,0,100,0,22
48,7,1,0,0,0,0,100,0,48
13,5,0.5,225,225,1,1,100,0,13
9,5,0.5,450,450,1,1,100,225,2
59,4,1,0,0,0,0,100,0,59
